id_producto,sku,category,size,color,stock
1,AN201-RED-L,AN : LEGGINGS,L,Red,5.0
2,AN201-RED-M,AN : LEGGINGS,M,Red,5.0
3,AN201-RED-S,AN : LEGGINGS,S,Red,3.0
4,AN201-RED-XL,AN : LEGGINGS,XL,Red,6.0
5,AN201-RED-XXL,AN : LEGGINGS,XXL,Red,3.0
6,AN202-ORANGE-L,AN : LEGGINGS,L,Orange,11.0
7,AN202-ORANGE-M,AN : LEGGINGS,M,Orange,3.0
8,AN202-ORANGE-S,AN : LEGGINGS,S,Orange,16.0
9,AN202-ORANGE-XL,AN : LEGGINGS,XL,Orange,8.0
10,AN202-ORANGE-XXL,AN : LEGGINGS,XXL,Orange,14.0
11,AN203-MAROON-L,AN : LEGGINGS,L,Maroon,1.0
12,AN203-MAROON-M,AN : LEGGINGS,M,Maroon,2.0
13,AN203-MAROON-S,AN : LEGGINGS,S,Maroon,2.0
14,AN203-MAROON-XL,AN : LEGGINGS,XL,Maroon,2.0
15,AN203-MAROON-XXL,AN : LEGGINGS,XXL,Maroon,3.0
16,AN204-PURPLE-L,AN : LEGGINGS,L,Purple,10.0
17,AN204-PURPLE-M,AN : LEGGINGS,M,Purple,4.0
18,AN204-PURPLE-S,AN : LEGGINGS,S,Purple,6.0
19,AN204-PURPLE-XL,AN : LEGGINGS,XL,Purple,3.0
20,AN204-PURPLE-XXL,AN : LEGGINGS,XXL,Purple,5.0
21,AN205-YELLOW-L,AN : LEGGINGS,L,Yellow,9.0
22,AN205-YELLOW-M,AN : LEGGINGS,M,Yellow,7.0
23,AN205-YELLOW-S,AN : LEGGINGS,S,Yellow,6.0
24,AN205-YELLOW-XL,AN : LEGGINGS,XL,Yellow,7.0
25,AN205-YELLOW-XXL,AN : LEGGINGS,XXL,Yellow,13.0
26,AN206-GREEN-L,AN : LEGGINGS,L,Green,10.0
27,AN206-GREEN-M,AN : LEGGINGS,M,Green,13.0
28,AN206-GREEN-S,AN : LEGGINGS,S,Green,13.0
29,AN206-GREEN-XL,AN : LEGGINGS,XL,Green,15.0
30,AN206-GREEN-XXL,AN : LEGGINGS,XXL,Green,13.0
31,AN207-PINK-L,AN : LEGGINGS,L,Pink,4.0
32,AN207-PINK-M,AN : LEGGINGS,M,Pink,2.0
33,AN207-PINK-S,AN : LEGGINGS,S,Pink,4.0
34,AN207-PINK-XL,AN : LEGGINGS,XL,Pink,1.0
35,AN207-PINK-XXL,AN : LEGGINGS,XXL,Pink,2.0
36,AN209-BIEGE-L,AN : LEGGINGS,L,Beige,4.0
