id_hecho,order_id,id_fecha,id_producto,id_estado,id_canal,id_tipo_venta,qty,amount
1,405-8078784-5731545,1,8964,1,1,1,0,647.62
2,171-9198151-1101146,1,5958,2,1,2,1,406.0
3,404-0687676-7273146,1,3795,3,1,2,1,329.0
4,403-9615377-8133951,1,2520,1,1,1,0,753.33
5,407-1069790-7240320,1,5323,3,1,1,1,574.0
6,404-1490984-4578765,1,8228,3,1,1,1,824.0
7,408-5748499-6859555,1,1086,3,1,1,1,653.0
8,406-7807733-3785945,1,3935,2,1,2,1,399.0
9,402-4393761-0311520,1,4248,3,1,2,1,363.0
10,171-4638481-6326716,1,4450,3,1,2,1,364.0
11,405-5513694-8146768,1,3937,2,1,2,1,399.0
12,408-7955685-3083534,1,7751,3,1,1,1,657.0
13,408-1298370-1920302,1,2591,2,1,1,1,771.0
14,403-4965581-9520319,1,7188,2,1,1,1,544.0
15,406-9379318-6555504,1,5598,3,1,2,1,329.0
16,405-9013803-8009918,1,3936,3,1,2,1,399.0
17,402-4030358-5835511,1,5456,2,1,2,1,458.0
18,405-5957858-1051546,1,8184,3,1,1,1,886.0
19,405-0607769-0716360,1,6056,3,1,1,1,517.0
20,404-8494550-5860325,1,8725,3,1,1,1,666.0
21,171-1305077-2813934,1,3799,3,1,2,1,376.0
22,404-6019946-2909948,1,8399,1,1,1,0,570.48
23,402-3384087-4005164,1,6747,3,1,2,1,499.0
24,405-8191138-5176316,1,7084,2,1,1,1,582.0
25,403-9230474-9657916,1,3974,2,1,2,1,299.0
26,405-7755803-4729935,1,4785,3,1,2,1,399.0
27,404-5933402-8801952,1,3412,1,1,3,0,0.0
28,171-9040274-9291563,1,2522,3,1,1,1,791.0
29,403-7056319-0979561,1,6792,3,1,2,1,499.0
30,404-9632124-1107550,1,665,2,1,4,1,1233.0
31,402-1465437-0579556,1,5855,2,1,1,1,517.0
32,404-7774085-3780319,1,3802,3,1,2,1,376.0
33,402-2764952-1492318,1,6744,2,1,2,1,499.0
34,406-0272200-7784379,1,8724,3,1,1,1,666.0
35,403-4367956-2849158,1,5996,3,1,2,1,487.0
36,403-4367956-2849158,1,4638,3,1,2,1,368.0
37,403-4242957-8599555,1,3933,3,1,2,1,399.0
38,408-7165704-5643524,1,1854,3,1,1,1,699.0
39,402-8210765-3935569,1,2813,3,1,1,1,885.0
40,408-3478480-0881162,1,8823,3,1,4,1,1126.0
41,402-7595162-9129931,1,8253,3,1,1,1,788.0
42,171-6876154-6233146,1,7756,3,1,1,1,759.0
43,408-3917043-5314763,1,1945,3,1,4,1,1146.0
44,408-9281152-6213100,1,5731,3,1,1,1,665.0
